Source,Target,Type,Label
22,14,undirected,"""Father-in-law/son-in-law"""
22,28,undirected,"""The Argentine real estate developer is said to be friends with the Trump family"""
22,37,undirected,"""Business partners"""
22,85,undirected,"""Business partners"""
22,100,undirected,"""Married"""
22,102,undirected,"""Met in 2006, when Tkachuk was an adviser to the Ukrainian president"""
26,28,undirected,"""The Argentine real estate developer is said to be friends with the Trump family; Yaryura and Eric Trump were photographed together at Trump's election night party"""
30,95,undirected,"""Mnuchin worked for Soros' fund"""
31,46,undirected,"""Married"""
34,5,undirected,"""Met in 2006, when Zaika was head of the Ukrainian Construction Consortium"""
34,28,undirected,"""The Argentine real estate developer is said to be friends with the Trump family"""
34,36,undirected,"""Married"""
34,56,undirected,"""Business partners"""
34,69,undirected,"""Lunched together, spawning Trump interest in Rio hotel"""
34,102,undirected,"""Met in 2006, when Tkachuk was an adviser to the Ukrainian president"""
36,8,undirected,"""Partnered with Kushner in Brooklyn projects"""
36,16,undirected,"""Parent/child"""
36,52,undirected,"""Donor"""
36,54,undirected,"""Friends"""
36,63,undirected,"""business partner of the Kushners, per New York Magazine"""
36,80,undirected,"""Gave Kushner $50 million to help by a property from his father's company-Tishman Speyer"""
36,96,undirected,"""close with Kushner, per New York Magazine"""
41,42,undirected,"""Parent/child"""
43,36,undirected,"""Brothers"""
48,103,undirected,"""Described him as a ""true friend"""""
50,75,undirected,"""Married"""
53,83,undirected,"""Married"""
56,9,undirected,"""Father-in-law/son-in-law"""
62,21,undirected,"""Vice President"""
74,103,undirected,"""Awarded Order of Friendship"""
75,21,undirected,"""Assistant"""
76,12,undirected,"""Parent/child"""
78,12,undirected,"""Married"""
79,70,undirected,"""Perry consulted for Holt, after governorship to which Holt gave money"""
81,13,undirected,"""Lighthizer was Dole's campaign treasurer in 1996"""
84,47,undirected,"""Worked on 2008 presidential campaign"""
87,73,undirected,"""Married"""
88,33,undirected,"""Hamm, chief executive of Continental Energy, was Pruitt's 2013 re-election co-chair"""
92,20,undirected,"""Married"""
97,59,undirected,"""Married"""
104,84,undirected,"""Privatization advisor when Giuliani was mayor"""
106,107,undirected,"""Married. (Zhuo is the granddaughter of Deng Xiaoping, the former leader of the People's Republic of China. Wu is the chairman of the Anbang Insurance Group, which has been in business discussions with the Kushners.)"""
